,Description,Search Address,Latitude,Longitude
0,airport - YOW,"1000 Airport Parkway, Ottawa",45.3481105,-75.6542566
1,T and T supermarket,224 Hunt Club Road Ottawa,45.3337675,-75.69089377583315
2,University of Ottawa,"75 Laurier Ave E, Ottawa, ON K1N 6N5",45.4225294,-75.68339232722582
3,Carleton University,"1125 Colonel By Dr, Ottawa, ON K1S 5B6",45.3834576,-75.6975055
4,Via Rail Station,"200 Tremblay Rd, Ottawa, ON K1G 3H5",45.4164666,-75.6517255
5,Ottawa Fight and Fitness,"464 Bank St, Ottawa",45.41117285,-75.69335609255594
6,New DND HQ,"3500 Carling Avenue, Ottawa",45.353028949999995,-75.85177519607319
7,M Gen George R. Pearkes Building,"101 Colonel By Drive, Ottawa",45.4236165,-75.68979738429647
8,Louis St-Laurent Building,"555 Boulevard de la Carrière, Gatineau ",45.44491725,-75.72946552574075
9,Labelle/CANEX Building,"4210 Labelle Street, Ottawa",45.4220775,-75.62893879990433
10,Montfort Campus  CF Health Services Ottawa Clinic (CF H Svcs (O)),"713 Montreal Road, Ottawa",0.0,0.0
